event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
LBY11901,2025-01-03,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),Health Workers (Libya); Labor Group (Libya),Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Zintan,31.9223,12.252,1,Address Libya,Subnational,"On 3 January 2025, residents and staff of a local hospital held a protest in Zintan (Al Jabal Al Gharbi, West) in solidarity with the Palestinian people and in particular the director of the Kamal Adwan hospital in northern Gaza, recently arrested by Israeli forces.",0,crowd size=no report,1736845157
LBY11902,2025-01-06,2025,1,Demonstrations,Riots,Violent demonstration,Rioters (Libya),,Rioters,,,,Rioters only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Zintan,31.9223,12.252,1,Address Libya; Akhbar Libya,Subnational-National,"On 6 January 2025, overnight, rioters burned tires during a demonstration against the GNU and PM Abdulhamid Dbeiba in Zintan (Al Jabal Al Gharbi, West). The demonstration followed an interview of former Foreign Minister Najla al-Mangoush on Al Jazeera in which she spoke about her meeting with her Israeli counterpart Eli Cohen in August 2023, which in turn reignited speculation that the GNU intends to normalize relations with Israel. Similar demonstrations took place in other cities of western Libya on the same night (all coded separately).",0,crowd size=no report,1736845157
LBY11903,2024-12-18,2024,2,Strategic developments,Strategic developments,Change to group/activity,Police Forces of Libya (2021-) Government of National Unity (GNU),,State forces,,,,State forces only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Hamada Oil Field,29.5073,12.9704,2,Libya Observer,National,"Security measures: Around 18 December 2024 (as reported), a unit of the GNU interior ministry stepped up its patrolling operations in the desert area stretching from the border triangle between Libya, Tunisia and Algeria to the Hamada Oil Field (Al Jabal Al Gharbi, West). The interior ministry claimed that the measure is part of its efforts to reinforce security and curb illegal activities in the area, where there have been several incidents in recent weeks between the 444th Brigade and the Border Guards (coded separately).",0,,1759192014
LBY11904,2024-12-31,2024,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Libya (2014-) Libyan National Army (LNA),,State forces,,,,State forces only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Hamada Oil Field,29.5073,12.9704,1,Akhbar Libya,National,"Security measures: On 31 December 2024, an infantry brigade of Khalifa Haftar's Libyan National Army (LNA) conducted patrols around the desert area of the Hamada Oil Field (Al Jabal Al Gharbi, West), including near the border with Algeria. The LNA claimed that the aim of the patrols was to enhance security along the border, but in recent months tension has increased in the area between forces affiliated with the country's rival governments and there have been a number of armed clashes between different groups (coded separately).",0,,1759192014
LBY11905,2024-02-10,2024,1,Strategic developments,Strategic developments,Change to group/activity,Misratah Communal Militia (Libya),Radaa: Special Deterrence Forces,Identity militia,,,,Identity militia only,,434,Northern Africa,Libya,West,Al Jabal Al Gharbi,,Gharyan,32.1722,13.0203,1,Akhbar Libya,National,"Movement of forces: On 10 February 2024, armed groups from Misratah moved towards Gharyan (Al Jabal Al Gharbi, West) after members of the Stability Support Apparatus (SSA) attacked the local headquarters of the Counter Terrorism Force, which is an ally of the groups that departed Misratah (coded separately).",0,,1759192014
LBY11906,2024-01-20,2024,1,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,Political militia,Civilians (Libya),,Civilians,Political militia-Civilians,Civilian targeting,434,Northern Africa,Libya,West,Al Jafarah,,Ghout Abu Saq,32.6784,13.0066,1,Libya24,National,"On 20 January 2024, an unidentified armed group abducted the brother of the 55th Brigade commander in the area of Ghout Abu Saq (Al Jafarah, West). The reason for the abduction is unknown.",0,,1754410220
LBY11907,2024-01-21,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,Al Jafarah,,Janzur,32.8187,13.0173,1,Akhbar Libya,National,"On 21 January 2024, members of a union of tribes loyal to the regime of former President Muammar Gaddafi held a protest outside the headquarters of the UN mission in Libya in Janzur (Al Jafarah, West) to criticize the mission's role in the country's political stalemate and to reject foreign interference in national affairs.",0,crowd size=no report,1736845157
LBY11908,2025-01-06,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,Al Marqab,,Msallata,32.5822,14.04,1,Libya Herald,National,"On 6 January 2025, overnight, residents held a protest against the GNU and PM Abdulhamid Dbeiba in Msallata (Al Marqab, West). The protest followed an interview of former Foreign Minister Najla al-Mangoush on Al Jazeera in which she spoke about her meeting with her Israeli counterpart Eli Cohen in August 2023, which in turn reignited speculation that the GNU intends to normalize relations with Israel. Similar protests took place in other cities of western Libya on the same night (all coded separately).",0,crowd size=no report,1736845157
LBY11909,2024-01-16,2024,2,Political violence,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Libya),,Political militia,Civilians (Libya),,Civilians,Political militia-Civilians,Civilian targeting,434,Northern Africa,Libya,West,An Nuqat al Khams,,Raqdalin,32.8673,11.8529,1,Address Libya; Al Marsad,Subnational-National,"Around 16 January 2024 (as reported), an unidentified armed group abducted a civilian in Raqdalin (An Nuqat al Khams, West). The reasons are unknown, but the abduction prompted protests in the city (coded separately).",0,,1754410220
LBY11910,2024-01-16,2024,1,Demonstrations,Protests,Peaceful protest,Protesters (Libya),,Protesters,,,,Protesters only,,434,Northern Africa,Libya,West,An Nuqat al Khams,,Raqdalin,32.8673,11.8529,1,Address Libya; Al Marsad,Subnational-National,"On 16 January 2024, locals held a protest in Raqdalin (An Nuqat al Khams, West) over the abduction of a resident at the hands of an armed group (coded separately).",0,crowd size=no report,1736845157
