event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
ARE47,2024-07-19,2024,1,Demonstrations,Protests,Protest with intervention,Protesters (Bangladesh),,Protesters,Police Forces of the United Arab Emirates (2022-),,State forces,State forces-Protesters,,784,Middle East,United Arab Emirates,Dubai,Sector 3,,Dubai,25.0657,55.1713,3,Al Arabiya; Al Jazeera; Asharq Al Awsat; Press TV,Regional,"On 19 July 2024, Bangladeshi demonstrators held a protest in an unspecified location in Dubai (Sector 3, Dubai) against their home government. Emirati police forces intervened and stopped the protest, arresting 57 protesters and jailing them on charges of inciting unrest and disrupting laws.",0,crowd size=no report,1753969769
ARE49,2025-01-13,2025,1,Political violence,Riots,Mob violence,Rioters (Georgia),Georgian Dream (Georgia),Rioters,Civilians (Georgia),,Civilians,Rioters-Civilians,Civilian targeting,784,Middle East,United Arab Emirates,Abu Dhabi,Abu Dhabi,,Abu Dhabi,24.4667,54.3667,1,Interpressnews; Twitter,New media-International,"On 13 January 2025, five Georgian Dream members physically attacked a Georgian citizen in a restaurant in Abu Dhabi city (Abu Dhabi), after the man verbally confronted them earlier about the demonstrations and detentions going on in Georgia. There were no injuries",0,crowd size=5,1738026261
ARE48,2024-11-21,2024,2,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Uzbekistan),,Political militia,Civilians (Israel),Haredi Jewish Group (Israel),Civilians,Political militia-Civilians,Civilian targeting,784,Middle East,United Arab Emirates,Dubai,Sector 3,,Dubai,25.0657,55.1713,1,AP; CNN; Reuters; Times of Israel,Regional-International,"Around 21 November 2024 (as reported), a group composed of 3 Uzbek men abducted and killed an ultra-Orthodox Jewish rabbi of duel Israeli-Moldovan nationality in Dubai city (Sector 3, Dubai). The man body was discovered on 24 November. Israeli official accused Iran of being behind the abduction and murder, while Iran denied all involvement. UAE authorities arrested all 3 Uzbek men on 25 November and reported that the victim was targeted for 'who he was', suggesting antisemitic motive to the abduction and murder. The three Uzbek men accused of the murder were given death sentences by an Emirati court on 31 March.",1,,1752538671
ARE51,2025-01-19,2025,1,Political violence,Violence against civilians,Abduction/forced disappearance,Police Forces of the United Arab Emirates (2022-),,State forces,Civilians (Sudan),,Civilians,State forces-Civilians,Civilian targeting,784,Middle East,United Arab Emirates,Dubai,Sector 2,,Dubai International Airport,25.2528,55.3644,1,Al Taghyeer (Sudan); Ultra Sudan,International,"On 19 January 2025, UAE state security forces arrested a Sudanese opposition politician at Dubai International Airport (Dubai) while he was preparing to leave the country. He has been arrested without official charges, denied access to a lawyer, and his family has been prevented from seeing him. He was taken to an unspecified destination. The man publicly criticized the RSF forces in Sudan, which are supported by the UAE government.",0,,1756165952
