event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
IRQ51102,2024-01-05,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,PKK: Kurdistan Workers Party,,Rebel group,Rebel group-External/Other forces,,368,Middle East,Iraq,Duhok,Al Amadiya,Barwari Bala,Metina,37.1683,43.2709,2,People's Defense Forces,Other,"On 5 January 2024, Turkish army warplanes carried out airstrikes targeting PKK forces in Sere Metina area of Al Amadiya, Duhok province. The airstrikes took place between (5-6 January). One event for each date (total 2 events) coded. There were no casualties.",0,,1753954445
IRQ50657,2024-01-02,2024,2,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,External/Other forces,PKK: Kurdistan Workers Party,,Rebel group,Rebel group-External/Other forces,,368,Middle East,Iraq,Duhok,Al Amadiya,Barwari Bala,Metina,37.1683,43.2709,2,People's Defense Forces,Other,"Around 2 January 2024 (as reported), Turkish army shelled PKK positions in Metina region in Al Amadiya district of Duhok. Casualties unknown.",0,,1753954445
IRQ51155,2024-01-06,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,2,ROJ News; Rudaw,National-Regional,"On 6 January 2024, Turkish army drone carried out airstrikes in Ziono area a kilometer away from the village of Kalalah, Al Sulaymaniyah. The airstrike resulted in material damage to civilian properties. Casualties unknown.",0,,1753954445
IRQ51342,2024-01-14,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,2,Rudaw,National,"On 14 January 2024, presumably Turkish aerial vehicles carried out airstrikes targeting the heights in the vicinity of Gelalle (Kalalah) village in Mawat, Al Sulaymaniyah. Casualties unknown.",0,,1753954445
IRQ51733,2024-01-28,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,1,ROJ News,Regional,"On 28 January 2024, overnight an unidentified drone strike targeted a civilian residence in Kalalah village, Sulaymaniyah. Only material damages occurred. The house was empty when the strike took place.",0,,1753970711
IRQ53477,2024-04-13,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,Civilians (Iraq),,Civilians,External/Other forces-Civilians,Civilian targeting,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,2,Basnews; ROJ News; Rudaw,Subnational-National,"On 13 April 2024, a suspected Turkish drone carried out an airstrike targeting a house near the Shorey valley of Galala (Kalalah) village in Mawat, Al Sulaymaniyah. One resident of the house was killed.",1,,1753954492
IRQ57557,2024-07-26,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,2,ROJ News,Regional,"On 26 July 2024, Turkish army warplanes carried out airstrikes in the vicinity of Gelale (Kalalah) village in Mawat sub-district of Al Sulaymaniyah, causing a major fire. There were no fatalities.",0,,1753954492
IRQ57840,2024-08-08,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Kalalah,35.9322,45.3156,1,ANF News; ROJ News,Regional-International,"On 8 August 2024, Turkish army warplanes conducted airstrikes targeting Gelale (Kalalah) village in Sharbazher district of Al Sulaymaniyah. Casualties unknown.",0,,1753954492
IRQ57841,2024-08-08,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,,,,External/Other forces only,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Safra,35.9492,45.337,1,ANF News; ROJ News,Regional-International,"On 8 August 2024, Turkish army warplanes conducted airstrikes targeting Sefre (Safra) village in Sharbazher district of Al Sulaymaniyah. Casualties unknown.",0,,1753954492
IRQ57938,2024-08-13,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Turkey (2016-),,External/Other forces,PKK: Kurdistan Workers Party,,Rebel group,Rebel group-External/Other forces,,368,Middle East,Iraq,Al Sulaymaniyah,Sharbazher,Mawat,Mawat,35.9012,45.413,2,ROJ News,Regional,"On 13 August 2024, Turkish army warplanes conducted airstrikes on PKK positions in villages in Mawat district (Al Sulaymaniyah). Casualties unknown.",0,,1753954492
