event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
OMN77,2024-01-09,2024,1,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Oman (2020-),,State forces,Unidentified Armed Group (International),,Political militia,State forces-Political militia,,512,Middle East,Oman,Al Buraymi,Al Buraymi,,Hafit Border Crossing,24.0184,55.8456,1,Al Masdar; Times of Oman; Yemen Data Project,National-Regional,"Weapons seizure: On 9 January 2024, Omani customs forces seized a shipment of drones in Hafit Border Crossing (Al Buraymi) coming from the UAE and en route to Yemen.",0,,1705379979
OMN78,2024-05-30,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Oman (2020-),,State forces,Civilians (Yemen),Labor Group (Yemen); Migrants (Yemen); Prisoners (Yemen),Civilians,State forces-Civilians,Civilian targeting,512,Middle East,Oman,Dhofar,Al Mazuynah,,Al Mazyunah,17.8384,52.6604,1,Yemen Window,Regional,"On 30 May 2024, Omani military forces tortured 7 Yemeni children under 16 year-old in Al Mazyunah (Al Mazuynah, Dhofar), located around 10 km from the Yemeni border, after they entered Oman from Yemen in search of employment opportunities. The source claimed that Omani forces tortured the 7 Yemenis for five hours after arresting them and then released them at night into the desert instructing them to walk back to Yemen.",0,,1754410676
OMN79,2024-07-15,2024,1,Political violence,Battles,Armed clash,Islamic State (IS),,Rebel group,Police Forces of Oman (2020-),,State forces,State forces-Rebel group,,512,Middle East,Oman,Muscat,Mutrah,,Muscat - Al Wadi al Kabir,23.5752,58.5707,1,14 February Revolution Youth Coalition; AhlulBayt News Agency; Al Alam News; Al Arabiya; Al Jazeera; Arab Times; Asharq Al Awsat; Bahrain Mirror; Bahrain News Agency; Bahrain News Gazette; Doha News; Emirates News Agency; GardaWorld; Gulf Daily News; Gulf News (UAE); Khaleej Times; Kuwait Times; Oman Daily Observer; Oman News Agency; Press TV; Qatar News Agency; Sky News; The National (UAE),Other-National,"On 15 July 2024, 3 IS militants clashed with Omani security forces at a mosque in Muscat - Al Wadi al Kabir (Mutrah) after security forces arrived at the scene following an attack by the militants on Shiite worshippers (coded as a separate event). The clashes killed the 3 IS militants and 1 Omani policeman. Fatalities coded as 4. The attack took place as worshippers had gathered for the Shiite mourning festival of Ashura. The 3 IS militants were of Omani citizenship but the Islamic State had never officially announced an Oman Province.",4,,1753971809
OMN80,2024-07-15,2024,1,Political violence,Violence against civilians,Attack,Islamic State (IS),,Rebel group,Civilians (Pakistan),Civilians (India); Civilians (Oman); Shiite Muslim Group (India); Shiite Muslim Group (Oman); Shiite Muslim Group (Pakistan),Civilians,Rebel group-Civilians,Civilian targeting,512,Middle East,Oman,Muscat,Mutrah,,Muscat - Al Wadi al Kabir,23.5752,58.5707,1,14 February Revolution Youth Coalition; AhlulBayt News Agency; Al Alam News; Al Arabiya; Al Jazeera; Arab Times; Asharq Al Awsat; Bahrain Mirror; Bahrain News Agency; Bahrain News Gazette; Doha News; Emirates News Agency; GardaWorld; Gulf Daily News; Gulf News (UAE); Khaleej Times; Kuwait Times; Oman Daily Observer; Oman News Agency; Press TV; Qatar News Agency; Sky News; The National (UAE),Other-National,"On 15 July 2024, 3 IS militants attacked a Shiite mosque frequented by South Asian nationals and opened fire on worshippers in Muscat - Al Wadi al Kabir (Mutrah) killing 4 Pakistanis and 1 Indian and injuring 28 others. Fatalities coded as 5. Clashes with Omani security forces followed after the latter arrived at the scene (coded as a separate event). The attack took place as worshippers had gathered for the Shiite mourning festival of Ashura. The 3 IS militants were of Omani citizenship but the Islamic State had never officially announced an Oman Province.",5,,1754410676
OMN82,2024-06-15,2024,3,Political violence,Violence against civilians,Attack,Military Forces of Oman (2020-),,State forces,Civilians (Yemen),Migrants (Yemen),Civilians,State forces-Civilians,Civilian targeting,512,Middle East,Oman,Muscat,Bawshar,,Muscat,23.5841,58.4078,3,Al Harf 28,Regional,"Around 15 June 2024 (month of), Omani forces tortured 7 migrants of Yemeni nationality in Oman (coded to capital Muscat) (Bawshar). The source claimed that the reason migrants entered Oman was to seek jobs. The reason behind the attack was not reported.",0,,1754410676
OMN81,2024-11-21,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Oman (2020-),,State forces,Civilians (Yemen),Migrants (Yemen),Civilians,State forces-Civilians,Civilian targeting,512,Middle East,Oman,Dhofar,Al Mazuynah,,Al Mazyunah,17.8384,52.6604,2,Al Harf 28; Al Mashhad Al Yemeni - Pro-IRG; Crater Sky,Regional,"On 21 November 2024, Omani forces tortured and killed 1 migrant of Yemeni nationality in on the Omani side of the Yemeni Shihn border crossing (coded to Al Mazyunah) (Al Mazuynah, Dhofar). The reason behind the attack was not reported. The source claimed that the attack took place in Oman and the migrant was left in the Yemeni border before he was taken back again to Oman. One source claimed that the migrant burned himself in the border area between Oman and Yemen.",1,,1754410676
OMN83,2025-03-29,2025,2,Strategic developments,Strategic developments,Disrupted weapons use,Police Forces of Oman (2020-),,State forces,Unidentified Armed Group (Yemen),,Political militia,State forces-Political militia,,512,Middle East,Oman,Dhofar,Dalkut,,Sarfayt Border Crossing,16.6719,53.1008,1,Yemen Window,Regional,"Weapons seizure: Around 29 March 2025, Omani customs forces seized a shipment of 3 drones at the Sarfayt Border Crossing (Al Buraymi) in the possession of a Yemeni national who was attempting to smuggle the drones and accessories inside his vehicle.",0,,1744085420
