event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
EGY12282,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Cairo,Al Waily,,Cairo - Al Wayli,30.0771,31.2851,1,Al Shorouk,National,"On 13 April 2025, lawyers protested in front of the North Cairo Courts Complex in Cairo - Al Wayli (Al Waily, Cairo) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=no report,1745363461
EGY12283,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Matrouh,Mersa Matrouh,,Marsa Matruh,31.3525,27.2453,1,Al Masry Al Youm (Egypt),National,"On 13 April 2025, dozens of lawyers protested in front of the district court in Marsa Matruh (Mersa Matrouh, Matrouh) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=dozens,1745363461
EGY12284,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Alexandria,Al Mansheia,,Al Mansheyah,31.1966,29.8903,1,Al Masry Al Youm (Egypt),National,"On 13 April 2025, dozens of lawyers protested in front of the prosecution complex in Al Mansheyah (Al Mansheia, Alexandria) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=dozens,1745363461
EGY12285,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Cairo,Helwan,,Cairo - Helwan,29.8414,31.3008,1,Al Masry Al Youm (Egypt); Al Shorouk,National,"On 13 April 2025, lawyers protested in front of the primary court in Cairo - Helwan (Helwan, Cairo) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=no report,1745363461
EGY12286,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Beheira,Damanhour City,,Damanhur,31.0392,30.4691,1,Al Masry Al Youm (Egypt),National,"On 13 April 2025, dozens of lawyers protested in front of the primary court in Damanhur (Damanhour City, Beheira) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=dozens,1745363461
EGY12287,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Damietta,Damietta 1,,Damietta,31.4165,31.8133,1,Al Masry Al Youm (Egypt),National,"On 13 April 2025, lawyers protested in Damietta (Damietta 1, Damietta) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=no report,1745363461
EGY12288,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Fayoum,Fayoum City,,Al Fayyum,29.3099,30.8418,1,Al Masry Al Youm (Egypt); Al Shorouk,National,"On 13 April 2025, lawyers protested in front of the primary court in Al Fayyum (Fayoum City, Fayoum) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=no report,1745363461
EGY12289,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,North Sinai,Al Arish 2,,Al Arish,31.1316,33.7984,1,Al Masry Al Youm (Egypt),National,"On 13 April 2025, lawyers protested in Al Arish (Al Arish 2, North Sinai) against the decision of the justice ministry to increase court fees for civil and criminal cases. Similar protests were held on the same day in different parts of the country (all coded separately).",0,crowd size=no report,1745363461
EGY12290,2025-04-13,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Egypt),Lawyers (Egypt),Protesters,,,,Protesters only,,818,Northern Africa,Egypt,Menia,Menia City,,Minya,28.1099,30.7503,1,Al Shorouk,National,"On 13 April 2025, lawyers protested in Minya (Menia City, Menia) as part of a nationwide protest movement opposing the Justice Ministry's decision to increase court fees for civil and criminal cases.",0,crowd size=no report,1745363461
EGY12291,2025-04-09,2025,1,Strategic developments,Strategic developments,Arrests,Police Forces of Egypt (2014-),,State forces,Civilians (Egypt),Women (Egypt),Civilians,State forces-Civilians,,818,Northern Africa,Egypt,Matrouh,Mersa Matrouh,,Negila,31.4082,26.5885,1,Madamasr; New Arab,National-Regional,"On 9 April 2025, police forces arrested 20 women in Negila (Mersa Matrouh, Matrouh) in order to force several men from the same village to turn themselves in following a clash with the police that broke out during the arrest of a wanted person and left 3 officers dead and 2 wounded. 2 people, who surrendered to the police after reaching an agreement to release the women in detention, were later killed by national security officers (coded separately).",0,,1764637279
